47 1 0 2 0 		47 		 	
	47 5 0 9 1 		49 		 	
	47 5 0 3 1 		53 		 	
	47 2 1 0 2 		200 		 	
	47 5 1 0 0 		50 		 	
	123456789012345 1 2 2 4 		123456789012422 		 	
	729999999999947 0 0 3 2 		730000000000003 		 	
	47 4 8 7 7 		444444447777777 		 	
	777 4 15 0 0 		444444444444444 		 	
	777 7 14 0 1 		707777777777777 		 	
	777 7 14 8 1 		777777777777778 		 	
	777 7 8 4 7 		444444477777777 		 	
	701234568901234 6 14 0 0 		766666666666666 		 	
	701234568901234 6 15 0 0 		1666666666666666 		 	
	474747470000001 4 3 7 2 		474747470000001 		 	
	434744725433512 4 8 7 5 		434744727444477 		 	
	1 0 1 1 0 		10 		 	
	1 0 15 1 0 		1000000000000000 		 	
	497 0 2 5 1 		500 		 	
	547 0 2 5 1 		1005 		 	
	3 3 1 0 0 		3 		 	
	3 4 1 0 0 		4 		 	
	3 2 1 0 0 		12 		 	
	701234568901234 6 14 5 1 		1566666666666666 		 	
	701234568901234 6 14 1 1 		1066666666666666 		 	
	92 1 1 0 0 		100 		 	
	992 1 2 2 1 		1012 		 	
	654923 2 10 0 2 		200222222222 		 	
	227739003 6 11 9 1 		666666666669 		 	
	996483325718 4 0 0 1 		996483325720 		 	
	5065495 6 0 0 6 		6000000 		 	
	699 5 6 0 0 		555555 		 	
	731957744920478 9 4 3 1 		731957744920499 		 	
	3306 1 1 8 11 		188888888888 		 	
	3718248575 1 1 8 4 		3718248588 		 	
	516838036 3 2 7 0 		516838036 		 	
	7 4 1 2 3 		2224 		 	
	848607 3 1 0 2 		849003 		 	
	254546402115955 4 10 6 1 		254546404444444 		 	
	61 4 0 2 1 		62 		 	
	3591862108116 3 0 0 0 		3591862108116 		 	
	2005034 1 7 7 1 		11111117 		 	
	91636980094 0 3 6 1 		91636980100 		 	
	30778434502 3 4 2 4 		30782222333 		 	
	430634311752445 1 8 8 0 		430634411111111 		 	
	2331035333284 7 1 5 3 		2331035333557 		 	
	72874 3 7 0 1 		30333333 		 	
	26 0 3 2 7 		2000222222 		 	
	315675 0 1 3 0 		315680 		 	
	89826 0 11 9 1 		900000000000 		 	
	599683752901925 0 0 7 6 		599683752977777 		 	
	799 8 0 7 1 		799 		 	
	6455 1 3 5 3 		111555 		 	
	5 3 13 9 0 		3333333333333 		 	
	2515618178 2 7 9 5 		222222299999 		 	
	417144712673 2 1 5 7 		417152555555 		 	
	3115256799 2 12 1 0 		222222222222 		 	
	981487 5 6 2 1 		2555555 		 	
	4562177184794 9 6 6 6 		4666666999999 		 	
	862 4 6 0 7 		4000000044444 		 	
	47590889088 9 5 7 5 		47777799999 		 	
	4557 0 1 1 2 		5011 		 	
	331056261798635 0 5 4 3 		331056264000044 		 	
	6 7 9 3 2 		33777777777 		 	
	58238 0 2 8 9 		80088888888 		 	
	107585 5 0 7 10 		7777777777 		 	
	464581114983 0 5 3 1 		464581300000 		 	
	55387 1 6 4 6 		111111444444 		 	
	384103915492 5 5 1 4 		384111155555 		 	
	30813298248472 6 3 5 2 		30813298255666 		 	
	15 6 0 0 0 		15 		 	
	539530074332695 9 3 5 8 		539530095555559 		 	
	2035614449522 0 3 7 0 		2035614449600 		 	
	7214 6 0 0 13 		10000000000000 		 	
	61 9 12 6 3 		666999999999999 		 	
	199297 7 2 3 1 		199377 		 	
	92 1 0 2 2 		122 		 	
	1788875131 1 0 8 3 		1788875131 		 	
	958 7 6 9 2 		77777799 		 	
	28453608033 3 1 2 0 		28453608033 		 	
	119243210122753 5 0 4 3 		119243210122844 		 	
	31 1 0 5 1 		35 		 	
	79 6 5 4 3 		44466666 		 	
	733 4 3 0 7 		4000000044 		 	
	4 9 0 0 2 		100 		 	
	5566267949 1 3 4 0 		5566268111 		 	
	864404636234 2 13 9 0 		2222222222222 		 	
	6245226 4 0 8 0 		6245226 		 	
	3 5 0 1 0 		3 		 	
	853763137 9 10 6 3 		6669999999999 		 	
	124565313525384 3 2 0 9 		124600000000033 		 	
	4134954849229 2 6 3 0 		4134955222222 		 	
	1962407043 8 11 0 1 		808888888888 		 	
	620681 9 0 4 3 		621444 		 	
	282 9 3 0 3 		900099 		 	
	3008402 8 2 0 0 		3008408 		 	
	86354037283377 3 5 7 3 		86354037303377 		 	
	929302 0 10 1 2 		100000000001 		 	
	9567586730587 7 3 2 7 		9567722222227 		 	
	39888232658 7 0 5 0 		39888232658 		 	
	6809956 0 4 2 3 		10000222 		 	
	8184038 4 12 2 0 		444444444444 		 	
	3143275326265 8 2 0 12 		80000000000008 		 	
	50561460 2 8 4 3 		22222222444 		 	
	5616661715 8 0 5 1 		5616661715 		 	
	438336226630705 0 1 9 4 		438336226690999 		 	
	6118 0 2 6 2 		6600 		 	
	802998516595 6 12 0 1 		6066666666666 		 	
	8324053 4 3 3 11 		33333333333444 		 	
	69619706734 4 15 1 0 		444444444444444 		 	
