47, 1, 0, 2, 0 		47 		Passed 	
	47, 5, 0, 9, 1 		49 		Passed 	
	47, 5, 0, 3, 1 		53 		Passed 	
	47, 2, 1, 0, 2 		200 		Passed 	
	47, 5, 1, 0, 0 		50 		Passed 	
	123456789012345, 1, 2, 2, 4 		123456789012422 		Passed 	
	729999999999947, 0, 0, 3, 2 		730000000000003 		Passed 	
	47, 4, 8, 7, 7 		444444447777777 		Passed 	
	777, 4, 15, 0, 0 		444444444444444 		Passed 	
	777, 7, 14, 0, 1 		707777777777777 		Passed 	
	777, 7, 14, 8, 1 		777777777777778 		Passed 	
	777, 7, 8, 4, 7 		444444477777777 		Passed 	
	701234568901234, 6, 14, 0, 0 		766666666666666 		Passed 	
	701234568901234, 6, 15, 0, 0 		1666666666666666 		Passed 	
	474747470000001, 4, 3, 7, 2 		474747470000001 		Passed 	
	434744725433512, 4, 8, 7, 5 		434744727444477 		Passed 	
	1, 0, 1, 1, 0 		10 		Passed 	
	1, 0, 15, 1, 0 		1000000000000000 		Passed 	
	497, 0, 2, 5, 1 		500 		Passed 	
	547, 0, 2, 5, 1 		1005 		Passed 	
	3, 3, 1, 0, 0 		3 		Passed 	
	3, 4, 1, 0, 0 		4 		Passed 	
	3, 2, 1, 0, 0 		12 		Passed 	
	701234568901234, 6, 14, 5, 1 		1566666666666666 		Passed 	
	701234568901234, 6, 14, 1, 1 		1066666666666666 		Passed 	
	92, 1, 1, 0, 0 		100 		Passed 	
	992, 1, 2, 2, 1 		1012 		Passed 	
	654923, 2, 10, 0, 2 		200222222222 		Passed 	
	227739003, 6, 11, 9, 1 		666666666669 		Passed 	
	996483325718, 4, 0, 0, 1 		996483325720 		Passed 	
	5065495, 6, 0, 0, 6 		6000000 		Passed 	
	699, 5, 6, 0, 0 		555555 		Passed 	
	731957744920478, 9, 4, 3, 1 		731957744920499 		Passed 	
	3306, 1, 1, 8, 11 		188888888888 		Passed 	
	3718248575, 1, 1, 8, 4 		3718248588 		Passed 	
	516838036, 3, 2, 7, 0 		516838036 		Passed 	
	7, 4, 1, 2, 3 		2224 		Passed 	
	848607, 3, 1, 0, 2 		849003 		Passed 	
	254546402115955, 4, 10, 6, 1 		254546404444444 		Passed 	
	61, 4, 0, 2, 1 		62 		Passed 	
	3591862108116, 3, 0, 0, 0 		3591862108116 		Passed 	
	2005034, 1, 7, 7, 1 		11111117 		Passed 	
	91636980094, 0, 3, 6, 1 		91636980100 		Passed 	
	30778434502, 3, 4, 2, 4 		30782222333 		Passed 	
	430634311752445, 1, 8, 8, 0 		430634411111111 		Passed 	
	2331035333284, 7, 1, 5, 3 		2331035333557 		Passed 	
	72874, 3, 7, 0, 1 		30333333 		Passed 	
	26, 0, 3, 2, 7 		2000222222 		Passed 	
	315675, 0, 1, 3, 0 		315680 		Passed 	
	89826, 0, 11, 9, 1 		900000000000 		Passed 	
	599683752901925, 0, 0, 7, 6 		599683752977777 		Passed 	
	799, 8, 0, 7, 1 		799 		Passed 	
	6455, 1, 3, 5, 3 		111555 		Passed 	
	5, 3, 13, 9, 0 		3333333333333 		Passed 	
	2515618178, 2, 7, 9, 5 		222222299999 		Passed 	
	417144712673, 2, 1, 5, 7 		417152555555 		Passed 	
	3115256799, 2, 12, 1, 0 		222222222222 		Passed 	
	981487, 5, 6, 2, 1 		2555555 		Passed 	
	4562177184794, 9, 6, 6, 6 		4666666999999 		Passed 	
	862, 4, 6, 0, 7 		4000000044444 		Passed 	
	47590889088, 9, 5, 7, 5 		47777799999 		Passed 	
	4557, 0, 1, 1, 2 		5011 		Passed 	
	331056261798635, 0, 5, 4, 3 		331056264000044 		Passed 	
	6, 7, 9, 3, 2 		33777777777 		Passed 	
	58238, 0, 2, 8, 9 		80088888888 		Passed 	
	107585, 5, 0, 7, 10 		7777777777 		Passed 	
	464581114983, 0, 5, 3, 1 		464581300000 		Passed 	
	55387, 1, 6, 4, 6 		111111444444 		Passed 	
	384103915492, 5, 5, 1, 4 		384111155555 		Passed 	
	30813298248472, 6, 3, 5, 2 		30813298255666 		Passed 	
	15, 6, 0, 0, 0 		15 		Passed 	
	539530074332695, 9, 3, 5, 8 		539530095555559 		Passed 	
	2035614449522, 0, 3, 7, 0 		2035614449600 		Passed 	
	7214, 6, 0, 0, 13 		10000000000000 		Passed 	
	61, 9, 12, 6, 3 		666999999999999 		Passed 	
	199297, 7, 2, 3, 1 		199377 		Passed 	
	92, 1, 0, 2, 2 		122 		Passed 	
	1788875131, 1, 0, 8, 3 		1788875131 		Passed 	
	958, 7, 6, 9, 2 		77777799 		Passed 	
	28453608033, 3, 1, 2, 0 		28453608033 		Passed 	
	119243210122753, 5, 0, 4, 3 		119243210122844 		Passed 	
	31, 1, 0, 5, 1 		35 		Passed 	
	79, 6, 5, 4, 3 		44466666 		Passed 	
	733, 4, 3, 0, 7 		4000000044 		Passed 	
	4, 9, 0, 0, 2 		100 		Passed 	
	5566267949, 1, 3, 4, 0 		5566268111 		Passed 	
	864404636234, 2, 13, 9, 0 		2222222222222 		Passed 	
