546725227,674932909,774111577,462107874,466835066,538309710,679769881,907905277,416731052,407991282,446124218,697456899,945588267,795594539,948141230,713593048,504173676,904173358,502895862,877808152,356513839,900405273,723150204,553378414,826807792,955614624,688308917,509405629,808985009,740889040,723015114,355710235,415821948,949643046,920334465,985173370,487952756,600104345,695595001,554683808,658095627,791719220,704657062,406200248,587313758,455314647,769793296,544003789,359488004,725205514 	39 	
1,2 	2 	
10,11,12,13,14,15,16,17,1000,1000,1500 	8 	
3,3,3,3,3,3,3,4,4,4,4,4,7 	12 	
3,10,100,300,2,1 	2 	
2,6,4,5,7,8,4,6,8,90,5,3,456,5,6,6,4,5,67,6,56,4,4,6,7,8,9,2,3,4,5,9,9,9,9,9,9,9,9,9,9,5,4,345,23,12,13,14,15 	28 	
1,2,3,4,6,8,10,12,14,16,18 	5 	
2,2,3,3,3,7 	5 	
1,1,100000,100000,100000,100000,100000,100000000,100000000 	6 	
1,2,34,4,3,3,6,5,8,2,4 	5 	
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50 	50 	
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000000000 	49 	
1,1,2,3,5,8,13,21,34,55,89,144,233,377,610,987,1597,2584,4181,6765,10946,17711,28657,46368,75025,121393,196418,317811,514229,832040,1346269,2178309,3524578,5702887,9227465,14930352,24157817,39088169,60000000,100000000 	3 	
3,3,3,6,2,7,1,15,54,21,41,18,28,24,2,4,15,4,85,4,88,574,5854,5452,854,584,584,587,21,45,8452,54,842,45,424,554,24,25,412,54,245,4254,254,254,24254,2,542,452,4,5 	10 	
2,2,3,100 	3 	
2,3,4,1,3,4,5 	5 	
1,2,3 	2 	
1,1,1,1,1,1,1,1 	8 	
1,1,1,1000000000,1000000000,1000000000 	4 	
1,2,3,4,5,6,7,8,9,10 	6 	
1 	1 	
1,1,1,1,1,1,1,1,1,1 	10 	
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 	20 	
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 	30 	
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 	40 	
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 	50 	
1,2,3,4,5,6,7,8,9,10 	6 	
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20 	11 	
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30 	16 	
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40 	21 	
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50 	26 	
10,9,8,7,6,5,4,3,2,1 	6 	
20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1 	11 	
30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1 	16 	
40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1 	21 	
50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1 	26 	
4 	1 	
21,28,68,32,17,38,43,9,48,8,85,6,30,92,37,78,33,70,85,72,31,17,33,47,25,83,28,49,15,88,29,78,98,50,89,83,3,15,15,51,3,60,1,78 	19 	
78,71,56,21,69,60,96,65,100,25,68,30,9,78,50,89,51,58,96,69,34,1,71,99,78,75,20,15,92,79,59,87,69 	25 	
10,63,29,88,17,28,55,97,18,16,27,18,58,50,29 	8 	
61,74,75,9,8,6,11,80 	4 	
39,62,44,75,50,35,82,82,15,10,7,7,20,68,23,58,26,37,84,32,32,66,70,91,32,48,30,77,75,56,73,42,55,60,89,67,12,48,41,12,6 	22 	
