806.6449509934	139.2322343308	743.5035940725	197.8720056359	11.9220984634
913.9584542718	684.4174843282	827.3908009287	231.245679548	450.7539318874
212.3959998135	553.8342173677	273.8772216253	891.6764312889	579.6946673654
322.421309771	752.8922152705	872.7933194023	245.0501644053	168.1666867808
515.992396744	758.1132769119	726.0076715611	968.5329822823	824.5085007511
631.8191431928	854.6946260612	6.3198246062	953.2044911757	456.6140079405
398.1818631291	462.1396081056	846.4066316374	450.8218870033	997.3717937246
600.493744947	500.9563618805	756.2539393548	379.3326239102	993.8914098311
933.5181475617	252.8819153085	834.5369286835	477.7531379368	337.9962344188
999.939924106	997.6703920402	864.6742070559	903.5198111087	71.7851091176
997.857223032	630.7428518776	267.8016121499	732.379944995	406.0172804166
269.7880996857	111.1959998962	231.7150421441	474.3851020467	901.8209942151
859.385161195	655.4246265441	750.7492559962	539.8135487922	108.5886303335
967.9438159801	160.185581306	493.0777663831	734.7564671654	433.3894390147
756.7328838632	763.4633793496	139.3268895336	530.1260128617	260.139688151
856.45344574	904.4533164706	476.6508333851	24.0226732567	910.6567946728
773.7052072771	184.7554789856	391.3661872502	615.7795183826	824.7775842901
854.0515997447	567.3042996787	480.0574621186	25.0094342045	823.1051841285
619.1652321722	63.9290118124	270.2178335749	202.1553879604	297.0576740336
866.2801315077	580.0416369457	432.1713550016	16.2667487748	542.8948285989
584.7219973803	952.3124045227	713.0681532435	46.718494501	565.3491455596
795.1815752313	620.7958040759	436.6326699965	797.2032853868	696.9884808641
13.5195751209	858.0255026463	204.6519170981	357.1844883263	666.0817940719
729.4328303542	68.9055141993	894.2933583166	29.8573721666	62.7277533058
169.1345630679	428.704687627	919.5277451072	196.795568103	692.7108778618
878.8123365957	219.0778278746	624.9745918904	289.2350752372	998.3159382828
387.1402912773	502.1134091076	101.2363750488	485.344146844	202.1958956029
845.144686522	615.3266048059	986.2124079373	303.0007150956	407.6918060891
160.7132090721	314.8610885255	309.578561224	774.4718997274	915.4728667345
49.1817889269	341.3199097849	387.2056899127	551.4498497359	117.3470767681
845.4671322834	204.8747374211	154.2348281946	615.5315313954	450.4550688434
