5 5 47 20598 	3 	
5 5 47 20599 	2 	
4 4 11 65500 	0 	
3 6 47 15000 	2 	
200 300 42 0 	100 	
500 600 42 2000 	129 	
1 1 42 50000 	0 	
1 1 42 5900 	1 	
750 750 42 5000 	49 	
748 741 22741 0 	371 	
747 5 24324 0 	3 	
1 744 16756 0 	1 	
601 688 1207 0 	301 	
748 747 23219 1 	374 	
741 1 20926 1 	1 	
1 748 32044 1 	1 	
472 254 20638 1 	127 	
746 750 31769 2 	373 	
744 5 10857 2 	3 	
5 750 29825 2 	3 	
121 148 15596 2 	61 	
745 742 493 10 	371 	
742 5 10872 10 	3 	
5 749 13442 10 	3 	
642 108 15961 10 	54 	
741 749 1332 50 	371 	
750 2 26801 50 	1 	
4 743 24434 50 	2 	
526 299 15958 50 	150 	
744 750 23667 100 	371 	
743 5 17636 100 	3 	
3 742 11024 100 	2 	
676 423 20765 100 	212 	
741 743 2003 1000 	244 	
742 1 19801 1000 	1 	
1 745 19354 1000 	1 	
587 494 20358 1000 	207 	
747 749 9222 2000 	117 	
748 3 27149 2000 	2 	
1 741 12174 2000 	1 	
166 210 2203 2000 	72 	
750 748 10219 3000 	66 	
743 3 24987 3000 	2 	
3 744 12341 3000 	2 	
252 384 32489 3000 	63 	
749 750 28914 5000 	49 	
743 5 3067 5000 	3 	
5 744 6880 5000 	3 	
443 225 26011 5000 	42 	
750 743 25151 10000 	20 	
750 1 18157 10000 	1 	
3 742 14063 10000 	2 	
304 662 20808 10000 	21 	
750 746 6801 15000 	11 	
742 3 50 15000 	2 	
2 748 11414 15000 	1 	
650 552 20614 15000 	11 	
747 747 1248 20000 	10 	
748 2 27008 20000 	1 	
1 749 28766 20000 	1 	
246 579 24646 20000 	9 	
747 749 18376 25000 	6 	
741 2 10802 25000 	1 	
4 746 5996 25000 	2 	
657 536 28638 25000 	7 	
748 744 22440 30000 	5 	
748 4 8897 30000 	2 	
2 742 14467 30000 	1 	
337 416 26853 30000 	6 	
743 747 12168 40000 	3 	
744 1 5622 40000 	1 	
5 746 15818 40000 	2 	
679 161 28353 40000 	3 	
750 748 29885 50000 	3 	
744 4 19419 50000 	2 	
3 745 19277 50000 	2 	
576 110 18945 50000 	3 	
743 743 2382 65000 	1 	
748 2 629 65000 	1 	
5 743 7748 65000 	1 	
139 325 13162 65000 	1 	
749 748 20756 65535 	1 	
741 2 16435 65535 	0 	
3 748 2326 65535 	0 	
228 500 29395 65535 	1 	
747 745 11684 65536 	0 	
746 4 23588 65536 	0 	
3 746 28699 65536 	0 	
183 399 1456 65536 	0 	
735 723 25441 3421 	62 	
712 747 31234 1234 	155 	
734 750 24324 432 	353 	
1 1 0 50000 	0 	
750 750 37777 12345 	13 	
733 749 63987 8067 	25 	
750 750 0 65535 	1 	
750 750 10 1000 	259 	
750 750 47 1000 	259 	
750 750 5436 0 	375 	
750 750 1 100 	374 	
750 750 124 30000 	6 	
750 750 2354 1000 	259 	
750 750 47 32000 	6 	
741 742 16435 10000 	18 	
750 750 278 1000 	259 	
750 750 1 0 	375 	
749 749 1091 1823 	128 	
730 730 1221 2000 	128 	
750 750 11 103 	371 	
741 742 16435 5000 	39 	
750 750 42 40000 	4 	
750 749 12345 30 	375 	
