	3 2 		32
	2 2 		4
	1 1 		1
	4 5 		103514887
	7 77 		747707397
	1000000000 123 		1
	1000000000 1000000000 		1
	536870911 1000000000 		543724762
	123456789 1 		1
	268435455 36648724 		208048256
	134217727 36648724 		1
	117825866 7457346 		13498530
	387420488 84069467 		806796213
	643076642 123 		214970630
	279 562444338 		47154375
	11 358206529 		857359266
	362 863193754 		274995007
	120 438119233 		437630283
	256 689481272 		90697485
	8775 278000423 		572861679
	2938 487044242 		410078719
	7273 610019679 		711942185
	3047 259939330 		832431563
	8752 679078961 		618152009
	959349 298165444 		373912105
	271825 558967608 		728819731
	604088 872931663 		755962687
	754447 686456775 		372431019
	848707 623629290 		224104687
	930552 186804456 		237516386
	197350 232952234 		974852665
	798144 717319524 		887479123
	840344 311701756 		356084284
	712455 435488855 		747050769
	280179047 138284830 		144167434
	489152343 650268386 		807372474
	131266783 482122404 		973886042
	909833560 572746703 		377020583
	214776896 461181366 		2124231
	477365003 637517399 		705347008
	439584539 933502299 		646156402
	685949640 579379272 		414936531
	319453138 683268749 		245072125
	684365003 308843531 		43749586
	999988776 2 		676672996
	999999999 3 		1
	999999997 4 		1
	1000000000 5 		1
	888888888 6 		1
	999999997 999999997 		1
	1000000000 500000000 		1
	326402540 326402540 		113950251
	987558789 987558789 		787202130
	100028703 2 		133309173
	46248482 7189719 		1
	999998743 999998742 		345389292
	423531123 8013 		223632865
	11000 2645743 		798025601
	100000000 599111111 		1
	999999991 999999973 		1
	24 2 		440011672
	123 9999 		885229876
	3627 2 		1
	985575155 1337731 		1
	131071 2 		596907532
