	{5,4,7,3,10} {1,2,0,4,3}		33
	{3,6,2,4,10,3} {0,1,2,3,4,5}		0
	{10,3,123,498,12,13,14,45,32,67,111,234,543,2,12,1,56,67,78,89,12,90,23,77,345,543,242,560,121,232,980,10000,12,1,6,98,67,44,21,456,3231,456,23,14,678,65,45,23,99,23} {49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0}		20597
	{10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000} {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,0}		980000
	{5246,3023,9853,5854,3541,7131,8763,9467,6738,196,4787,9945,9931,5695,9862,7717,6321,7399,443,9038,8137,2459,4276,9866,2494,2930,7318,8967,3970,5458,9625,3325,6464,2817,9363,3660,9181,8988,901,1668,5488,1557,6386,3438,8821,1360,154,5445,6805,9495} {22,40,16,30,27,5,42,18,14,37,41,48,39,43,34,21,35,11,29,20,7,49,9,32,2,0,44,1,45,15,12,26,33,23,28,10,25,38,31,36,24,4,6,19,46,47,17,13,8,3}		295631
	{5246,3023,9853,5854,3541,7131,8763,9467,6738,196,4787,9945,9931,5695,9862,7717,6321,7399,443,9038,8137,2459,4276,9866,2494,2930,7318,8967,3970,5458,9625,3325,6464,2817,9363,3660,9181,8988,901,1668,5488,1557,6386,3438,8821,1360,154,5445,6805,9495} {1,2,3,0,5,6,7,4,9,10,11,8,13,14,15,12,17,18,19,16,21,22,23,20,25,26,27,24,29,30,31,28,33,34,35,32,37,38,39,36,41,42,43,40,45,46,47,48,49,44}		326402
	{1,10,10,100} {3,0,2,1}		112
	{1,10,10,10,10} {0,2,3,4,1}		55
	{2333,6705,615,2226,1801,4277,9443,7436,9040,8685,6981,8276,4970,1732,9841,735,792,7485,7578,7673,8550,2794,7951,2734,8509,4669,993,8125,4576,7794,4972,3249,5545,6424,5837,5486,3005,4968,1907,2698,6452} {2,8,38,9,35,14,16,18,1,7,20,37,24,6,29,27,0,22,36,32,12,28,3,40,31,34,39,17,15,33,4,26,13,5,23,25,30,21,19,11,10}		244859
	{1193,9112,7081,2340} {2,0,3,1}		22112
	{1779,6462,9939,6592,932,8590,3514,8374,155,4139,2658,3757,815,6279,8933,898,7028,987,2147,9725,5945,6940,4602,7307,8269,6599,8394,2491,830,7266,1100,2786,480,305,9706,4157,2637,5186,8693,6177} {33,10,22,3,4,29,7,11,30,31,12,19,15,24,32,37,0,2,21,16,34,5,23,26,20,14,1,17,36,28,6,8,38,13,9,35,27,18,25,39}		182295
	{3087,676,763,8123,346,1303,1762,413,2856,6114,9595,5778,2167,1445,9983,3203,3492,9009,9053,8198,5784,9713,4647,440,78,4089,1487,6610,5205,1622,9116,5226,668,6988,541,5579} {15,35,25,10,0,13,18,26,29,24,17,1,11,5,2,22,4,16,32,12,33,31,9,14,6,8,21,23,7,28,34,27,3,19,20,30}		158765
	{4575,9177,6547,8452,4904,5844,7050,7244,4371,3111,4067,9253,9030,5290} {4,1,10,2,8,11,6,0,5,12,9,7,13,3}		102616
	{2556,7198,3068,8041,5408,2225,1707,1725,7539,2709,3404,3740,9793,1897,8964,127,4061,5543,3480,323,1330,1554,9909,2995,7455,3962,9402,9195,8237,8905,330,2486,5879,9583,4258,2015,3508,3106,2457,2496,3063} {18,4,13,2,19,24,7,40,34,1,6,28,17,32,29,21,15,14,36,3,33,39,8,31,30,11,22,25,23,35,0,26,9,5,12,10,27,20,38,16,37}		188909
	{1860,7882,2792,5454,6405,8530,3198} {6,2,1,4,5,0,3}		41701
