	{1,1,2,2,9,3} {0,1,0,1,5,3} 		BWWWWB 		 	
	{1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,7} {0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7} 		BWBBBBBWWWWWWWWWWWWWWWWBWWWWWWWBWWWWWWWBWWWWWWWWWB 		 	
	{-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20} {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0} 		BBBBBWBBWBBWBBBBBBWBBWBBBBBBWBBWBBWBBBBB 		 	
	{-42,-2335,-3170,0,2963,1706,-3282,-1962,0,-828,-392,3903,0,-1422,3719,0,0,1870,-1668,0,-704,-3323,1674,3142,-254,-1548,-663,-38,-724,0,-317,0,0,0,3265,-3447,3891,0,-3007,-394,3630,0,2757,967,-1932,945,-627,0,0,-2930} {42,0,0,-3479,0,1706,3282,1962,-2996,0,0,3903,-293,0,-3719,-1448,2772,0,1668,-1036,704,-3323,0,-3142,0,0,-663,38,-724,3530,317,2191,289,-1041,0,-3447,3891,-371,-3007,0,-3630,85,0,0,0,-945,627,1538,119,-2930} 		BBBBBWBBBBBBBWBBBBWBWBWWBBBWWBBBBWBBBBBBBBWBBBBBBW 		 	
	{833,639,2702,1976,3670,1021,-1079,2270,-1226,1097,3984,-2840,2353,3653,31,-653,-3061,1965,3104,-1995,3456,-250,2944,-3795,-3782,2422,-497,-3589,-3100,-1240,-2592,-379,1546,-408,-398,-1710,-2627,596,-655,-334,-3720,-3947,-1585,2900,-1875,-272,-3355,-2195,2309,2811} {3112,1655,-2071,-1694,2384,742,-930,1829,3572,-3490,1289,-1366,-3236,3573,51,-2850,1722,-570,2188,-664,286,-1618,-3092,-2243,-1414,-3057,1029,1165,-3413,-2345,2359,535,2483,41,-3653,2833,-981,-3982,3197,-3519,734,-2001,-65,-212,-3533,2892,2481,-1579,2617,-2487} 		WWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW 		 	
	{4000,3999,3998,3997,3996,3995,3994,3993,3992,3991,3990,3989,3988,3987,3986,3985,3984,3983,3982,3981,3980,3979,3978,3977,3976,3975,3974,3973,3972,3971,3970,3969,3968,3967,3966,3965,3964,3963,3962,3961,3960,3959,3958,3957,3956,3955,3954,3953,3952,3951} {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0} 		BWBBWBBWBBBBBWBBBBBWBBWBBWBBBBBWBBBBBWBBBBBWBBBBBW 		 	
	{4000,3999,3998,3997,3996,3995,3994,3993,3992,3991,3990,3989,3988,3987,3986,3985,3984,3983,3982,3981,3980,3979,3978,3977,3976,3975,3974,3973,3972,3971,3970,3969,3968,3967,3966,3965,3964,3963,3962,3961,3960,3959,3958,3957,3956,3955,3954,3953,3952,3951} {4000,3999,3998,3997,3996,3995,3994,3993,3992,3991,3990,3989,3988,3987,3986,3985,3984,3983,3982,3981,3980,3979,3978,3977,3976,3975,3974,3973,3972,3971,3970,3969,3968,3967,3966,3965,3964,3963,3962,3961,3960,3959,3958,3957,3956,3955,3954,3953,3952,3951} 		WBWBBBWBWBBBWBWBWBWBWBBBWBWBWBWBWBBBWBWBWBWBWBBBWB 		 	
	{-10} {0} 		B 		 	
	{3000} {3000} 		W 		 	
	{4000,3999,3998,3997,3996,3995,3994,3993,3992,3991} {4000,3999,3998,3997,3996,3995,3994,3993,3992,3991} 		WBWBBBWBWB 		 	
	{1,-2,-1,1,-2,2,2,3,1,2,-3,1,0,0,3,3,2,-3,0,2,0,-3,3,-3,2,-2,2,3,-1,0,1,-3,-2,0,3,-1,3,-1,-3,-1,2,0,2,2,-2,1,1,-1,-2,-3} {-1,-2,1,-2,3,1,-3,-1,-3,-3,1,-2,-1,3,-2,0,0,0,2,-2,1,1,3,-1,1,3,2,-2,2,-2,3,-2,-2,3,-2,-1,1,-1,2,-3,-1,1,-2,2,-1,-1,1,0,-2,3} 		WWWWWWWWWWWWBBWBWBWWBWBWWWWWWWWWWBWWWWWWWBWWWWWBWB 		 	
	{-3,-3,2,-3,-1,-2,2,2,-1,1,3,-3,-1,-3,1,2,1,-3,2,1,1,-1,1,-1,2,2,-2,1,2,2,3,1,-1,-1,-2,2,-2,2,1,-1,1,-2,-3,2,1,-3,3,-3,1,3} {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0} 		BBWBBWWWBBBBBBBWBBWBBBBBWWWBWWBBBBWWWWBBBWBWBBBBBB 		 	
	{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0} {-3,-3,-1,3,-3,-2,-1,-1,-3,-1,-3,1,-1,3,1,3,1,-2,3,3,2,-3,2,2,2,1,-3,-1,-2,-3,-3,-2,2,3,1,-2,1,-1,-3,-2,-1,2,1,2,-1,-3,3,1,2,1} 		BBBBBWBBBBBBBBBBBWBBWBWWWBBBWBBWWBBWBBBWBWBWBBBBWB 		 	
