{1,2,3,4} 	{1,2,4} 	
{12,43,29} 	{} 	
{4,7} 	{7} 	
{41,2,28,44,7,42,21} 	{7,28,42} 	
{15,10,28,3,13,27,7} 	{7,15,27,28} 	
{18,45,6} 	{} 	
{39,28,13,8,42,18} 	{} 	
{29,42,10,24,41,17,33,18,40,36,21,37,27,34,31,12,38,9,26} 	{9,10,12,17,18,21,24,26,27,29,31,33,34,36,37,38,42} 	
{14,31,16,9,33,26,8,24,28,25,42,29,19,36,44,12,15,39,38,7} 	{7,8,9,12,14,15,16,19,24,28,29,31,33,36,38,39,42,44} 	
{44,36,21,15,23,40,9,41,30,18,14,16,34,35,10,11,43,28,13,26,37,7,32,24} 	{7,9,10,11,13,14,15,16,18,21,23,24,26,28,30,32,34,35,37,41} 	
{34,44,43,22,41,11,37,32,7,13,25,28,29,36,15,9,30,16,8,35,26} 	{7,8,9,11,13,15,16,22,25,26,28,29,34,36,37,41,43,44} 	
{31,41,26,16,33,9,40,28,14,39,38,17,12,32,22,37,36,30,7,35,25} 	{7,9,12,14,16,17,22,25,26,30,35,36,37,38,39,40,41} 	
{34,20,26,28,33,23,44,40,25,10,36,14,7,29,21,27,17,13,19,24,32,41,31} 	{7,10,13,14,17,19,20,21,23,24,25,26,27,28,29,31,32,34,44} 	
{18,40,34,11,29,38,33,39,27,30,16,36,20,22,13,12,42,19,28,35,32} 	{11,12,13,16,18,19,20,22,27,28,29,34,36,38,39,40,42} 	
{17,24,15,42,11,10,36,28,37,26,32,9,31,21,25,22,44,39,41,35,34,29,13} 	{9,10,11,13,15,17,21,22,24,25,26,28,29,31,36,41,42,44} 	
{1,23,2,29,42,8,56,62,44,47,52,25,26,11,31,57,70,35,39,71,76,14,77,67,28,20,69,55,51,17,22,72,24,61} 	{1,2,8,11,14,17,20,22,23,24,25,26,28,29,31,35,39,42,44,47,51,52,55,61,70} 	
{10,56,13,77,33,40,52,66,38,47,28,1,71,60,11,50,20,37,22,62,57,24,76,75,42,48,2,39,9,54,67,5,25,21} 	{1,2,5,9,10,11,13,20,21,22,24,25,28,33,37,38,39,40,42,47,48,50,60,75,77} 	
{15,31,1,35,63,12,55,71,5,70,75,48,26,14,58,44,73,38,37,42,4,27,60,33,77,46,40,39,32,24,57} 	{1,4,5,12,14,15,24,26,27,31,32,33,35,37,38,39,40,42,44,46,48,55,58,71} 	
