	3,5,7,9,510 		FoxCiel
	0,0,0,0 		Toastman
	511 		Toastman
	0,0,0,0,0 		FoxCiel
	7,56,448 		Toastman
	511,0 		FoxCiel
	511,1 		FoxCiel
	1,2,4,8,16,32,64,128,256 		Toastman
	5,58,192,256 		FoxCiel
	141,248,387,366,145,54,339,246,246,273,119,484,301,423,294,81,441,150,45,396,127,169,414,397,161,413,412,106,397,407,330,380,425,482,356,37,291,24,334,456,69,13,351,279,141,64,152,449,347,179 		FoxCiel
	363,6,332,264,500,471,16,59,337,72,402,61,223,489,2,84,401,128,122,285,310,337,234,207,179,379,314,490,142,53,38,361,493,464,142,57,199,150,90,444,360,287,272,293,343,429,455,277,226,71 		FoxCiel
	305,183,352,175,220,212,27,421,241,221,221,244,136,487,350,132,253,46,197,241,351,403,230,404,246,176,195,15,127,96,263,199,188,308,121,219,93,318,460,73,475,62,91,141,411,328,221,310,470,265 		FoxCiel
	77,389,61,361,289,255,195,13,485,476,239,317,234,310,372,426,478,29,356,30,60,439,349,261,440,117,459,253,289,495,350,167,115,492,338,394,429,243,177,368,11,282,393,227,405,372,364,56,276,160 		FoxCiel
	73,400,385,275,132,9,372,111,352,386,249,301,464,250,144,1,445,76,355,184,90,410,270,301,346,264,295,22,202,254,199,403,256,479,455,65,2,208,206,409,161,107,293,314,96,450,186,373,317,318 		FoxCiel
	495,255,511,510,511,507,511,495,239,407,511,223,351,255,511,511,511,221,511,347,383,479,383,511,507,247,511,247,475,383,511,495,511,479,255,510,447,503,511,427,255,383,503,159,379,510,509,125,473,509 		FoxCiel
	511,255,511,255,511,511,511,511,447,509,479,319,495,511,511,511,511,247,511,479,479,511,503,478,479,511,511,509,511,511,253,511,468,479,511,507,255,511,511,503,495,382,491,511,447,510,507,511,511,511 		FoxCiel
	443,503,511,479,239,383,238,455,383,191,446,431,437,249,475,495,494,479,511,319,479,511,319,495,347,511,107,367,509,447,494,495,459,511,115,382,447,509,511,511,239,463,511,378,495,447,443,220,503,479 		FoxCiel
